"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"2789",24013512000,"$25,000 under $50,000",2,1730,529,0.212877263581489,0.515090543259557,0.302213492555332,0.515090702615694
"2790",24013512000,"$50,000 under $75,000",3,1220,396,0.159356136820926,0.674446680080483,0.515090702615694,0.674446798390342
"2791",24013512000,"$75,000 under $100,000",4,890,294,0.11830985915493,0.792756539235413,0.674446798390342,0.792756710261569
"2792",24013512000,"$100,000 under $200,000",5,1200,425,0.17102615694165,0.963782696177062,0.792756710261569,0.963782732394366
"2793",24013512000,"$200,000 or more",6,180,90,0.0362173038229376,1,0.963782732394366,1
"2794",24013513001,"Total",0,15010,15010,0,0,0,0
"2795",24013513001,"$1 under $25,000",1,3990,3990,0.265822784810127,0.265822784810127,0,0.265822937375083
"2796",24013513001,"$25,000 under $50,000",2,2290,2290,0.152564956695536,0.418387741505663,0.265822937375083,0.418387860759494
"2797",24013513001,"$50,000 under $75,000",3,1790,1790,0.11925383077948,0.537641572285143,0.418387860759494,0.537641675549633
"2798",24013513001,"$75,000 under $100,000",4,1550,1550,0.103264490339773,0.640906062624917,0.537641675549633,0.640906327115257
"2799",24013513001,"$100,000 under $200,000",5,3970,3970,0.264490339773484,0.905396402398401,0.640906327115257,0.905396497001999
"2800",24013513001,"$200,000 or more",6,1420,1420,0.0946035976015989,1,0.905396497001999,1
"2801",24013513002,"Total",0,19470,14780,0,0,0,0
"2802",24013513002,"$1 under $25,000",1,5210,3930,0.265899864682003,0.265899864682003,0,0.265900017253045
"2803",24013513002,"$25,000 under $50,000",2,2970,2255,0.152571041948579,0.418470906630582,0.265900017253045,0.418471025778078
"2804",24013513002,"$50,000 under $75,000",3,2230,1761,0.11914749661705,0.537618403247632,0.418471025778078,0.537618506359946
"2805",24013513002,"$75,000 under $100,000",4,1920,1524,0.103112313937754,0.640730717185386,0.537618506359946,0.640730981461434
"2806",24013513002,"$100,000 under $200,000",5,5030,3906,0.264276048714479,0.905006765899865,0.640730981461434,0.905006860893099
"2807",24013513002,"$200,000 or more",6,2110,1404,0.0949932341001353,1,0.905006860893099,1
"2808",24013514100,"Total",0,36890,18924,0,0,0,0
"2809",24013514100,"$1 under $25,000",1,10140,4794,0.253329105897273,0.253329105897273,0,0.253329261731135
"2810",24013514100,"$25,000 under $50,000",2,6520,2949,0.155833861762841,0.409162967660114,0.253329261731135,0.409163092686536
"2811",24013514100,"$50,000 under $75,000",3,4810,2366,0.125026421475375,0.534189389135489,0.409163092686536,0.534189500581273
"2812",24013514100,"$75,000 under $100,000",4,4070,2109,0.11144578313253,0.645635172268019,0.534189500581273,0.645635438966392
"2813",24013514100,"$100,000 under $200,000",5,8800,5047,0.266698372437117,0.912333544705136,0.645635438966392,0.912333632371592
"2814",24013514100,"$200,000 or more",6,2550,1659,0.0876664552948637,1,0.912333632371592,1
"2815",24013514201,"Total",0,38470,10859,0,0,0,0
"2816",24013514201,"$1 under $25,000",1,9960,2775,0.255548393038033,0.255548393038033,0,0.255548545630353
"2817",24013514201,"$25,000 under $50,000",2,5870,1657,0.152592319734782,0.408140712772815,0.255548545630353,0.408140831107837
